# BEGIN HISTOGRAM /REF/CMS_2013_I1273574/d01-x01-y01
AidaPath=/REF/CMS_2013_I1273574/d01-x01-y01
Title=Leading hard jet $\eta$ in pp$\rightarrow$ 4j in $|\eta|<4.7$ at $\sqrt{s}$ = 7 TeV
XLabel=$\eta$
YLabel=$d^\sigma\,/d\eta\; [\text{pb}/rad]$
PolyMarker=*
ErrorBars=1
## Area: 3.277694e+05
## Num bins: 18
## xlow  	xhigh   	val    	errminus	errplus
-6.000000e+00	-4.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.700000e+00	-4.000000e+00	5.218190e+02	5.010858e+02	5.010858e+02
-4.000000e+00	-3.000000e+00	1.163018e+04	4.827526e+03	4.827526e+03
-3.000000e+00	-2.500000e+00	2.508028e+04	2.574406e+03	2.574406e+03
-2.500000e+00	-2.000000e+00	3.860323e+04	5.385663e+03	5.385663e+03
-2.000000e+00	-1.500000e+00	4.612958e+04	6.984741e+03	6.984741e+03
-1.500000e+00	-1.000000e+00	5.954267e+04	7.752666e+03	7.752666e+03
-1.000000e+00	-5.000000e-01	6.825907e+04	8.904119e+03	8.904119e+03
-5.000000e-01	0.000000e+00	6.627061e+04	7.953209e+03	7.953209e+03
0.000000e+00	5.000000e-01	6.635504e+04	8.150969e+03	8.150969e+03
5.000000e-01	1.000000e+00	6.745386e+04	8.667483e+03	8.667483e+03
1.000000e+00	1.500000e+00	6.036173e+04	7.780509e+03	7.780509e+03
1.500000e+00	2.000000e+00	5.008772e+04	7.302318e+03	7.302318e+03
2.000000e+00	2.500000e+00	3.512359e+04	5.602760e+03	5.602760e+03
2.500000e+00	3.000000e+00	2.526064e+04	2.487461e+03	2.487461e+03
3.000000e+00	4.000000e+00	1.118496e+04	4.828013e+03	4.828013e+03
4.000000e+00	4.700000e+00	4.642397e+02	4.457942e+02	4.457942e+02
4.700000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTOGRAM


# BEGIN HISTOGRAM /REF/CMS_2013_I1273574/d02-x01-y01
AidaPath=/REF/CMS_2013_I1273574/d02-x01-y01
Title=Leading hard jet $p_{T}$ in pp$\rightarrow$ 4j in $|\eta|<4.7$ at $\sqrt{s}$ = 7 TeV
XLabel=$p_{T}$ [GeV]
YLabel=$d^\sigma\,/dp_{T}\; [\text{pb}/GeV]$
PolyMarker=*
ErrorBars=1
## Area: 3.265946e+05
## Num bins: 10
## xlow  	xhigh   	val    	errminus	errplus
0.000000e+00	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	5.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e+01	1.000000e+02	4.762447e+03	6.816016e+02	6.816016e+02
1.000000e+02	1.500000e+02	1.422491e+03	1.677112e+02	1.677112e+02
1.500000e+02	2.000000e+02	2.615080e+02	2.657618e+01	2.657618e+01
2.000000e+02	2.600000e+02	5.385504e+01	5.427215e+00	5.427215e+00
2.600000e+02	3.200000e+02	1.226443e+01	1.340991e+00	1.340991e+00
3.200000e+02	3.800000e+02	3.356444e+00	4.551743e-01	4.551743e-01
3.800000e+02	4.400000e+02	1.216012e+00	2.089507e-01	2.089507e-01
4.400000e+02	5.100000e+02	4.400205e-01	1.030097e-01	1.030097e-01
# END HISTOGRAM


# BEGIN HISTOGRAM /REF/CMS_2013_I1273574/d03-x01-y01
AidaPath=/REF/CMS_2013_I1273574/d03-x01-y01
Title=$\Delta$S in pp$\rightarrow$ 4j in $|\eta|<4.7$ at $\sqrt{s}$ = 7 TeV
XLabel=$\Delta$S
YLabel=$d^\sigma\,/d\DeltaS\; [\text{pb}/rad]$
PolyMarker=*
ErrorBars=1
## Area: 3.243757e+05
## Num bins: 14
## xlow  	xhigh   	val    	errminus	errplus
0.000000e+00	2.243994e-01	1.223568e+04	2.324407e+03	2.324407e+03
